ControlComponent,ControlTestBase,Association
ControllerAgent,ControlComponent,Association
MPCController,Controller,Generalization
LonController,Controller,Generalization
LatController,Controller,Generalization
MPCControllerTest,ControlTestBase,Generalization
RelativePositionTest,ControlTestBase,Generalization
SimpleControlTest,ControlTestBase,Generalization
LatController,LatLonControllerSubmodule,Association
MracController,LatController,Association
TrajectoryAnalyzer,LatController,Association
LatControllerTest,LatController,Generalization
LeadlagController,LatController,Association
LonController,LatLonControllerSubmodule,Association
LeadlagController,LonController,Association
PIDController,LonController,Association
LonControllerTest,LonController,Generalization
MPCController,MPCControllerSubmodule,Association
TrajectoryAnalyzer,MPCController,Association
MPCControllerTest,MPCController,Generalization
PIDBCController,PIDController,Generalization
PIDICController,PIDController,Generalization
